experiment,variant,sigma,sample_idx,phi,psi
original,baseline,0.01,85,-74.653564,-4.6623793
original,baseline,0.01,86,-74.757805,-4.3597484
original,baseline,0.01,87,-74.110565,-4.0328035
original,baseline,0.01,88,-74.919945,-3.9267063
original,baseline,0.01,89,-74.67138,-4.903159
original,baseline,0.01,90,-74.664246,-5.0654764
original,baseline,0.01,91,-73.87343,-5.7839303
original,baseline,0.01,92,-74.495514,-4.6961937
original,baseline,0.01,93,-74.30438,-4.8320746
original,baseline,0.01,94,-75.33397,-2.7440932
original,baseline,0.01,95,-74.995804,-2.8695655
original,baseline,0.01,96,-74.42062,-5.332632
original,baseline,0.01,97,-73.63838,-6.0428414
original,baseline,0.01,98,-74.061676,-5.8553715
original,baseline,0.01,99,-74.552574,-4.448381
original,baseline,0.01,100,-74.993805,-3.2437522
original,baseline,0.01,101,-74.008705,-5.057591
original,baseline,0.01,102,-74.12286,-5.204729
original,baseline,0.01,103,-74.37476,-5.255114
original,baseline,0.01,104,-73.97306,-5.9799094
original,baseline,0.01,105,-74.1395,-5.484488
original,baseline,0.01,106,-74.38347,-4.6255608
original,baseline,0.01,107,-74.224655,-5.3533826
original,baseline,0.01,108,-74.963234,-3.8476143
original,baseline,0.01,109,-75.035995,-4.4079294
original,baseline,0.01,110,-74.250046,-5.02392
original,baseline,0.01,111,-74.63709,-4.1408978
original,baseline,0.01,112,-74.34626,-4.544349
original,baseline,0.01,113,-74.36038,-4.5393047
original,baseline,0.01,114,-75.62715,-1.9637787
original,baseline,0.01,115,-74.64612,-4.100658
original,baseline,0.01,116,-74.65381,-4.9358387
original,baseline,0.01,117,-73.69354,-7.0815988
original,baseline,0.01,118,-74.12045,-4.9451284
original,baseline,0.01,119,-74.88881,-4.6537395
original,baseline,0.01,120,-74.2411,-5.214189
original,baseline,0.01,121,-74.79745,-3.4905822
original,baseline,0.01,122,-73.58953,-5.671155
original,baseline,0.01,123,-74.40286,-3.745883
original,baseline,0.01,124,-74.839554,-4.232022
original,baseline,0.01,125,-74.89676,-3.811437
original,baseline,0.01,126,-74.31729,-4.8751535
original,baseline,0.01,127,-74.26609,-4.984236
original,baseline,0.01,128,-73.95701,-5.706133
original,baseline,0.01,129,-74.46491,-4.6333723
original,baseline,0.01,130,-74.466064,-3.6840193
original,baseline,0.01,131,-74.60221,-4.6323996
original,baseline,0.01,132,-75.03718,-3.5294278
original,baseline,0.01,133,-74.899506,-3.9531415
original,baseline,0.01,134,-74.61853,-4.7691364
original,baseline,0.01,135,-73.908455,-5.9606657
original,baseline,0.01,136,-74.37603,-5.2518883
original,baseline,0.01,137,-74.80704,-4.210832
original,baseline,0.01,138,-74.68043,-4.3559775
original,baseline,0.01,139,-73.6896,-6.690803
original,baseline,0.01,140,-75.05083,-2.7771645
original,baseline,0.01,141,-74.42812,-5.4573474
original,baseline,0.01,142,-74.77676,-5.048972
original,baseline,0.01,143,-74.95068,-5.1595626
original,baseline,0.01,144,-74.3934,-5.9838166
original,baseline,0.01,145,-75.06269,-3.2010763
original,baseline,0.01,146,-73.83329,-6.507074
original,baseline,0.01,147,-74.27966,-5.1979275
original,baseline,0.01,148,-75.63596,-3.16131
original,baseline,0.01,149,-74.84603,-5.0635834
original,baseline,0.01,150,-74.0945,-4.343941
original,baseline,0.01,151,-74.12003,-5.028431
original,baseline,0.01,152,-73.65985,-5.4616084
original,baseline,0.01,153,-75.42351,-2.5887194
original,baseline,0.01,154,-74.20804,-6.0293407
original,baseline,0.01,155,-74.939354,-4.337579
original,baseline,0.01,156,-74.4151,-4.7942557
original,baseline,0.01,157,-74.78513,-4.6108623
original,baseline,0.01,158,-74.81616,-4.8120437
original,baseline,0.01,159,-74.12803,-5.810667
original,baseline,0.01,160,-74.48999,-5.3866377
original,baseline,0.01,161,-74.220566,-5.9062257
original,baseline,0.01,162,-74.49637,-4.431377
original,baseline,0.01,163,-74.137886,-5.917265
original,baseline,0.01,164,-74.632614,-3.3373785
original,baseline,0.01,165,-74.34476,-3.4386926
original,baseline,0.01,166,-75.127266,-2.371674
original,baseline,0.01,167,-74.245575,-5.226421
original,baseline,0.01,168,-74.70196,-3.9564512
original,baseline,0.01,169,-74.90407,-3.4279976
original,baseline,0.01,170,-74.758736,-5.1530733
original,baseline,0.01,171,-73.643616,-7.472571
original,baseline,0.01,172,-73.42599,-6.651727
original,baseline,0.01,173,-74.37718,-4.536041
original,baseline,0.01,174,-74.19467,-6.1316853
original,baseline,0.01,175,-75.52341,-2.4851093
original,baseline,0.01,176,-74.89236,-3.64105
original,baseline,0.01,177,-74.69578,-4.880152
original,baseline,0.01,178,-74.813484,-3.8524487
original,baseline,0.01,179,-74.91553,-5.0456233
original,baseline,0.01,180,-73.56233,-7.122135
original,baseline,0.01,181,-74.09654,-4.879276
original,baseline,0.01,182,-74.504,-4.5623
original,baseline,0.01,183,-75.04706,-3.6851232
original,baseline,0.01,184,-74.34858,-4.887911
original,baseline,0.01,185,-73.99256,-5.336017
original,baseline,0.01,186,-73.794395,-5.1845655
original,baseline,0.01,187,-74.00336,-5.597026
original,baseline,0.01,188,-73.84756,-5.8880634
original,baseline,0.01,189,-75.002174,-4.3654466
original,baseline,0.01,190,-74.36295,-5.1522894
original,baseline,0.01,191,-74.945435,-4.085256
original,baseline,0.01,192,-74.68529,-5.1938386
original,baseline,0.01,193,-74.4747,-4.0417385
original,baseline,0.01,194,-74.94239,-4.602972
original,baseline,0.01,195,-74.303604,-4.9199977
original,baseline,0.01,196,-74.6925,-4.6456447
original,baseline,0.01,197,-74.257614,-4.9911075
original,baseline,0.01,198,-74.314125,-4.036512
original,baseline,0.01,199,-74.85771,-3.499438
original,baseline,0.05,0,-73.766464,-5.1329923
original,baseline,0.05,1,-76.12706,-3.2800605
original,baseline,0.05,2,-74.26923,-10.287229
original,baseline,0.05,3,-76.29465,-0.61029714
original,baseline,0.05,4,-74.273766,-5.4974427
original,baseline,0.05,5,-75.32382,-2.316028
original,baseline,0.05,6,-75.33526,-3.6918476
original,baseline,0.05,7,-74.92926,1.2125063
original,baseline,0.05,8,-73.33089,-5.4588366
original,baseline,0.05,9,-79.63919,3.1301322
original,baseline,0.05,10,-75.4549,-4.8660183
original,baseline,0.05,11,-71.48999,-10.499514
original,baseline,0.05,12,-72.66897,-3.5168972
original,baseline,0.05,13,-72.49974,-9.823596
original,baseline,0.05,14,-71.46709,-12.16465
original,baseline,0.05,15,-75.13485,-0.14590818
original,baseline,0.05,16,-75.57271,-2.7983944
original,baseline,0.05,17,-78.166626,2.9253535
original,baseline,0.05,18,-74.65758,-2.7531664
original,baseline,0.05,19,-73.428185,-4.3303437
original,baseline,0.05,20,-76.04868,-3.4048095
original,baseline,0.05,21,-69.619095,-9.547586
original,baseline,0.05,22,-72.86022,-8.622186
original,baseline,0.05,23,-74.38732,-6.939603
original,baseline,0.05,24,-72.85595,-11.417143
original,baseline,0.05,25,-69.95576,-15.886833
original,baseline,0.05,26,-75.14369,1.9911525
original,baseline,0.05,27,-76.559166,-1.7714468
original,baseline,0.05,28,-76.79861,-1.7360581
original,baseline,0.05,29,-76.14021,-1.0010206
original,baseline,0.05,30,-78.56872,4.6847534
original,baseline,0.05,31,-73.05868,-11.422491
original,baseline,0.05,32,-75.689964,1.6162329
original,baseline,0.05,33,-76.491486,-4.0716166
original,baseline,0.05,34,-71.51369,-9.42722
original,baseline,0.05,35,-77.71532,3.5463674
original,baseline,0.05,36,-76.173325,-5.406817
original,baseline,0.05,37,-74.413345,-3.3740199
original,baseline,0.05,38,-73.88334,-6.3008804
original,baseline,0.05,39,-76.24469,1.1158172
original,baseline,0.05,40,-69.43708,-15.601446
original,baseline,0.05,41,-78.27788,2.195045
original,baseline,0.05,42,-76.03545,-5.649518
original,baseline,0.05,43,-76.67296,0.8006921
original,baseline,0.05,44,-74.2725,-6.5430346
original,baseline,0.05,45,-74.54061,-4.6266174
original,baseline,0.05,46,-74.1885,-7.4608555
original,baseline,0.05,47,-74.75862,-2.1789935
original,baseline,0.05,48,-73.84189,-5.399324
original,baseline,0.05,49,-75.585304,-3.2085023
original,baseline,0.05,50,-69.67211,-15.98954
original,baseline,0.05,51,-72.86999,-13.519172
original,baseline,0.05,52,-77.924324,-0.95647806
original,baseline,0.05,53,-73.12927,-10.436188
original,baseline,0.05,54,-76.83758,-1.7080154
original,baseline,0.05,55,-72.28758,-7.9735994
original,baseline,0.05,56,-74.316925,-1.6642097
original,baseline,0.05,57,-76.41516,0.81829685
original,baseline,0.05,58,-77.05705,-4.2634535
original,baseline,0.05,59,-72.95802,-8.256974
original,baseline,0.05,60,-75.71591,-3.6591086
original,baseline,0.05,61,-74.266,-8.113097
original,baseline,0.05,62,-74.779274,-3.8734019
original,baseline,0.05,63,-77.79732,0.4705122
original,baseline,0.05,64,-75.94181,-3.3655596
original,baseline,0.05,65,-74.40307,-8.416248
original,baseline,0.05,66,-75.52424,-1.304731
original,baseline,0.05,67,-76.872154,-2.6939545
original,baseline,0.05,68,-73.50083,-6.1104045
original,baseline,0.05,69,-77.06779,-2.700728
original,baseline,0.05,70,-75.458755,-0.10933475
original,baseline,0.05,71,-79.15252,4.072687
original,baseline,0.05,72,-73.22374,-5.1927047
original,baseline,0.05,73,-76.54832,2.5256455
original,baseline,0.05,74,-73.45963,-8.154464
original,baseline,0.05,75,-74.04665,-6.2387
original,baseline,0.05,76,-72.92827,-7.04309
original,baseline,0.05,77,-75.80274,-6.2683587
original,baseline,0.05,78,-75.619995,-1.3289115
original,baseline,0.05,79,-73.08682,-2.9083643
original,baseline,0.05,80,-74.53328,-11.01559
original,baseline,0.05,81,-75.015335,-3.0126367
original,baseline,0.05,82,-72.521866,-8.633041
original,baseline,0.05,83,-75.61017,-3.4863033
original,baseline,0.05,84,-71.64198,-13.22598
original,baseline,0.05,85,-75.135254,-6.688931
original,baseline,0.05,86,-73.07123,-6.290101
original,baseline,0.05,87,-75.248764,0.62217635
original,baseline,0.05,88,-78.34148,0.029845947
original,baseline,0.05,89,-70.4878,-14.528466
original,baseline,0.05,90,-75.33116,-1.3817273
original,baseline,0.05,91,-73.259254,-9.538305
original,baseline,0.05,92,-72.65993,-3.277544
original,baseline,0.05,93,-75.28621,-6.49774
original,baseline,0.05,94,-73.39458,-9.773428
original,baseline,0.05,95,-76.1074,-2.1477466
original,baseline,0.05,96,-75.75865,-3.221571
original,baseline,0.05,97,-74.41295,-5.9963737
original,baseline,0.05,98,-74.42197,-7.60373
original,baseline,0.05,99,-77.98594,-3.720008
original,baseline,0.05,100,-73.22479,-4.6056223
original,baseline,0.05,101,-74.50768,-2.7033007
original,baseline,0.05,102,-75.385925,-4.321237
original,baseline,0.05,103,-74.10567,-1.3895
original,baseline,0.05,104,-77.244255,-0.72193044
original,baseline,0.05,105,-74.87456,-2.5705388
original,baseline,0.05,106,-72.51114,-9.202129
original,baseline,0.05,107,-70.20109,-17.575397
original,baseline,0.05,108,-75.051216,1.0860497
original,baseline,0.05,109,-74.61839,-8.776987
original,baseline,0.05,110,-75.10829,-6.5481853
original,baseline,0.05,111,-77.32803,1.2097476
original,baseline,0.05,112,-74.213554,-3.5350616
original,baseline,0.05,113,-73.49186,-7.6881447
original,baseline,0.05,114,-72.64069,-14.044109
original,baseline,0.05,115,-72.645706,-7.535197
original,baseline,0.05,116,-76.31438,-1.4765075
original,baseline,0.05,117,-72.4179,-11.595296
original,baseline,0.05,118,-75.76087,-1.5619079
original,baseline,0.05,119,-75.51659,-5.1217194
original,baseline,0.05,120,-72.742424,-12.1728735
original,baseline,0.05,121,-74.49839,-4.260705
original,baseline,0.05,122,-78.6162,13.915327
original,baseline,0.05,123,-72.57853,-14.386238
original,baseline,0.05,124,-71.86454,-7.5146065
original,baseline,0.05,125,-77.9474,1.9652935
original,baseline,0.05,126,-77.064926,0.20060128
original,baseline,0.05,127,-73.45348,-6.3574123
original,baseline,0.05,128,-72.53655,-12.484399
original,baseline,0.05,129,-75.79492,-2.173397
original,baseline,0.05,130,-69.70305,-16.111448
original,baseline,0.05,131,-74.16151,-4.2540126
original,baseline,0.05,132,-73.7324,-5.210991
original,baseline,0.05,133,-74.97515,-6.933305
original,baseline,0.05,134,-72.998314,-9.348585
original,baseline,0.05,135,-78.77491,3.9486759
original,baseline,0.05,136,-76.51227,-4.662205
original,baseline,0.05,137,-74.27313,-5.290187
original,baseline,0.05,138,-77.06235,-0.33200902
original,baseline,0.05,139,-75.27947,-5.0676346
original,baseline,0.05,140,-75.00861,-1.7805119
original,baseline,0.05,141,-72.41014,-5.196967
original,baseline,0.05,142,-73.001205,-6.9169526
original,baseline,0.05,143,-75.79362,-0.4076904
original,baseline,0.05,144,-78.78442,11.601733
original,baseline,0.05,145,-76.157906,0.8247274
original,baseline,0.05,146,-73.71875,-6.845852
original,baseline,0.05,147,-70.611725,-13.716456
original,baseline,0.05,148,-75.606804,-1.6663551
original,baseline,0.05,149,-76.46221,-3.0953853
original,baseline,0.05,150,-70.704025,-12.353219
original,baseline,0.05,151,-74.52881,-9.269418
original,baseline,0.05,152,-69.80991,-10.501691
original,baseline,0.05,153,-79.40614,6.6565332
original,baseline,0.05,154,-72.844666,-8.38976
original,baseline,0.05,155,-74.164795,-9.577773
original,baseline,0.05,156,-75.99936,1.1239116
original,baseline,0.05,157,-79.21188,1.8838745
original,baseline,0.05,158,-74.77296,0.42423144
original,baseline,0.05,159,-73.51317,-8.485207
original,baseline,0.05,160,-73.24465,-11.618529
original,baseline,0.05,161,-75.28802,-2.1636078
original,baseline,0.05,162,-71.05546,-11.624004
original,baseline,0.05,163,-76.979454,3.301452
original,baseline,0.05,164,-72.09053,-13.694127
original,baseline,0.05,165,-75.45228,-1.428655
original,baseline,0.05,166,-71.03957,-12.428166
original,baseline,0.05,167,-77.93217,5.266721
original,baseline,0.05,168,-73.63224,-5.6210256
original,baseline,0.05,169,-73.37096,-10.504358
original,baseline,0.05,170,-74.124176,-10.187358
original,baseline,0.05,171,-73.49755,-7.6120553
original,baseline,0.05,172,-75.90404,-3.8951607
original,baseline,0.05,173,-71.78497,-10.481508
original,baseline,0.05,174,-75.053795,-5.805414
original,baseline,0.05,175,-74.67374,-1.0466338
original,baseline,0.05,176,-77.08735,-0.009232274
original,baseline,0.05,177,-70.94615,-12.815709
original,baseline,0.05,178,-75.05704,-6.328914
original,baseline,0.05,179,-77.35903,1.8068292
original,baseline,0.05,180,-73.7758,-7.7590995
original,baseline,0.05,181,-72.61395,-9.982585
original,baseline,0.05,182,-75.03898,-4.745382
original,baseline,0.05,183,-74.360466,-4.3326287
original,baseline,0.05,184,-76.80516,5.038924
original,baseline,0.05,185,-72.89412,-9.846979
original,baseline,0.05,186,-71.20469,-7.7687693
original,baseline,0.05,187,-71.95606,-7.285961
original,baseline,0.05,188,-77.52243,4.4890494
original,baseline,0.05,189,-70.4759,-15.446153
original,baseline,0.05,190,-71.79084,-9.735127
original,baseline,0.05,191,-78.819855,4.3253217
original,baseline,0.05,192,-72.58683,-9.839213
original,baseline,0.05,193,-84.95824,12.4898405
original,baseline,0.05,194,-71.83583,-10.285338
original,baseline,0.05,195,-73.88935,-5.1391635
original,baseline,0.05,196,-79.817726,6.5681252
original,baseline,0.05,197,-74.42628,-5.700864
original,baseline,0.05,198,-73.999146,-11.077059
original,baseline,0.05,199,-71.85341,-8.6683445
original,baseline,0.1,0,-77.66608,1.9385175
original,baseline,0.1,1,-79.83684,11.865909
original,baseline,0.1,2,-92.13786,44.41218
original,baseline,0.1,3,-76.075874,-5.9681907
original,baseline,0.1,4,-79.98277,11.584946
original,baseline,0.1,5,-67.86728,-20.813482
original,baseline,0.1,6,-79.89399,1.2692856
original,baseline,0.1,7,-73.36159,-13.688708
original,baseline,0.1,8,-66.82938,-23.00141
original,baseline,0.1,9,-68.38207,-18.724735
original,baseline,0.1,10,-72.34804,-8.88438
original,baseline,0.1,11,-80.3981,3.7689245
original,baseline,0.1,12,-71.108444,-13.613353
original,baseline,0.1,13,-71.1311,-17.305464
original,baseline,0.1,14,-69.91811,-10.811011
original,baseline,0.1,15,-72.29164,-16.002346
original,baseline,0.1,16,-84.05988,9.297638
original,baseline,0.1,17,-78.24663,2.4487689
original,baseline,0.1,18,-76.777245,-0.9791323
original,baseline,0.1,19,-73.63074,-8.324046
original,baseline,0.1,20,-76.22701,0.9743466
original,baseline,0.1,21,-72.40383,-13.486879
original,baseline,0.1,22,-70.95365,-2.1100175
original,baseline,0.1,23,-74.07861,-4.774401
original,baseline,0.1,24,-80.02387,1.5556908
original,baseline,0.1,25,-79.562225,3.4629822
original,baseline,0.1,26,-78.692535,5.795323
original,baseline,0.1,27,-76.04887,0.44429353
original,baseline,0.1,28,-68.72653,-17.376034
original,baseline,0.1,29,-75.82204,-8.077574
original,baseline,0.1,30,-84.947365,38.044495
original,baseline,0.1,31,-68.020355,-20.61228
original,baseline,0.1,32,-74.06199,-13.191214
original,baseline,0.1,33,-72.51745,-15.223105
original,baseline,0.1,34,-72.75534,-5.1320024
original,baseline,0.1,35,-76.26468,-3.4101243
original,baseline,0.1,36,-69.46368,-16.750824
original,baseline,0.1,37,-73.155106,-0.24992749
original,baseline,0.1,38,-71.73054,-6.0765724
original,baseline,0.1,39,-68.01915,-21.25532
original,baseline,0.1,40,-78.80948,-0.32205993
original,baseline,0.1,41,-76.74116,2.327296
original,baseline,0.1,42,-87.84605,11.9778
original,baseline,0.1,43,-70.502785,-11.681152
original,baseline,0.1,44,-68.54621,-19.294828
original,baseline,0.1,45,-76.228935,2.2691138
original,baseline,0.1,46,-77.5102,0.59275526
original,baseline,0.1,47,-77.46275,-4.817863
original,baseline,0.1,48,-75.40743,-7.4793544
original,baseline,0.1,49,-73.68367,-6.514331
original,baseline,0.1,50,-66.23154,-19.676504
original,baseline,0.1,51,-73.01373,-7.383554
original,baseline,0.1,52,-72.74293,-11.180959
original,baseline,0.1,53,-77.376785,0.42495328
original,baseline,0.1,54,-91.27104,16.022118
original,baseline,0.1,55,-73.71563,-12.041575
original,baseline,0.1,56,-73.13246,-5.850749
original,baseline,0.1,57,-69.14337,-17.925465
original,baseline,0.1,58,-69.13648,-17.118841
original,baseline,0.1,59,-68.90698,-17.439497
original,baseline,0.1,60,-79.427,1.6506388
original,baseline,0.1,61,-85.23655,56.81427
original,baseline,0.1,62,-71.36156,-11.501652
original,baseline,0.1,63,-73.66196,-8.472336
original,baseline,0.1,64,-69.61127,-13.659128
original,baseline,0.1,65,-69.17335,-15.46494
original,baseline,0.1,66,-69.19875,-3.606201
original,baseline,0.1,67,-71.44671,-5.444693
original,baseline,0.1,68,-67.57166,-21.280321
original,baseline,0.1,69,-73.336876,-9.781114
original,baseline,0.1,70,-71.32689,-8.183143
original,baseline,0.1,71,-76.8576,-4.9817133
original,baseline,0.1,72,-74.29069,-2.0848482
original,baseline,0.1,73,-73.39215,9.239291
original,baseline,0.1,74,-75.89523,-0.9270841
original,baseline,0.1,75,-74.24464,-6.2487707
original,baseline,0.1,76,-66.368385,-24.490236
original,baseline,0.1,77,-75.32782,-3.1857023
original,baseline,0.1,78,-74.06214,-9.6089945
original,baseline,0.1,79,-65.60982,-12.741118
original,baseline,0.1,80,-71.063354,-18.993954
original,baseline,0.1,81,-68.42101,-17.207493
original,baseline,0.1,82,-80.19452,9.603405
original,baseline,0.1,83,-66.92688,-23.896008
original,baseline,0.1,84,-74.06177,-9.508651
original,baseline,0.1,85,-70.95564,-1.8363842
original,baseline,0.1,86,-75.924904,-7.2890744
original,baseline,0.1,87,-78.97964,-6.026875
original,baseline,0.1,88,-79.77366,8.754884
original,baseline,0.1,89,-75.21839,-13.4026
original,baseline,0.1,90,-76.92631,-0.5261517
original,baseline,0.1,91,-79.423386,8.0404825
original,baseline,0.1,92,-83.74645,10.629958
original,baseline,0.1,93,-73.513664,-2.092484
original,baseline,0.1,94,-85.845436,16.387032
original,baseline,0.1,95,-78.24593,0.97880685
original,baseline,0.1,96,-70.24204,-16.591694
original,baseline,0.1,97,-65.76334,-29.49415
original,baseline,0.1,98,-80.03065,9.745389
original,baseline,0.1,99,-72.443306,-15.791655
original,baseline,0.1,100,-71.991745,-11.8040905
original,baseline,0.1,101,-75.6077,6.4895663
original,baseline,0.1,102,-69.96647,-8.16646
original,baseline,0.1,103,-81.004585,4.0622544
original,baseline,0.1,104,-78.9238,-1.9601109
original,baseline,0.1,105,-75.4158,-7.6828012
original,baseline,0.1,106,-72.032486,-7.7873673
original,baseline,0.1,107,-82.77528,21.820425
original,baseline,0.1,108,-70.75772,-11.125709
original,baseline,0.1,109,-80.616714,13.057247
original,baseline,0.1,110,-75.3161,-8.027811
original,baseline,0.1,111,-72.70038,-9.369435
original,baseline,0.1,112,-74.05605,-2.947886
original,baseline,0.1,113,-67.72044,-21.456842
original,baseline,0.1,114,-71.80121,-11.394832
original,baseline,0.1,115,-74.48462,-3.2725124
original,baseline,0.1,116,-77.31802,-7.573232
original,baseline,0.1,117,-67.83112,-17.839682
original,baseline,0.1,118,-79.5798,26.637278
original,baseline,0.1,119,-82.59917,11.537465
original,baseline,0.1,120,-67.64215,-20.109571
original,baseline,0.1,121,-69.742065,-9.286294
original,baseline,0.1,122,-77.66149,-0.025514528
original,baseline,0.1,123,-82.98304,46.63015
original,baseline,0.1,124,-73.51894,-1.1329958
original,baseline,0.1,125,-76.157616,-8.296845
original,baseline,0.1,126,-74.8721,-7.536154
original,baseline,0.1,127,-69.02698,-20.29545
original,baseline,0.1,128,-73.57882,-6.294478
original,baseline,0.1,129,-74.3649,-4.165937
original,baseline,0.1,130,-81.56842,26.105137
original,baseline,0.1,131,-73.98794,-7.177701
original,baseline,0.1,132,-68.07444,-20.584673
original,baseline,0.1,133,-77.73192,10.086379
original,baseline,0.1,134,-67.49517,-21.233654
original,baseline,0.1,135,-77.3116,-1.5802362
original,baseline,0.1,136,-83.1204,15.388223
original,baseline,0.1,137,-68.31296,-19.121408
original,baseline,0.1,138,-82.191124,4.7146773
original,baseline,0.1,139,-68.26832,-19.450434
original,baseline,0.1,140,-74.32198,-13.266566
original,baseline,0.1,141,-74.70617,-12.213165
original,baseline,0.1,142,-71.99633,-9.435275
original,baseline,0.1,143,-71.712585,-9.842716
original,baseline,0.1,144,-73.15742,-10.879269
original,baseline,0.1,145,-70.62892,-12.41377
original,baseline,0.1,146,-65.445076,-27.63229
original,baseline,0.1,147,-67.13071,-23.147743
original,baseline,0.1,148,-76.93464,5.338906
original,baseline,0.1,149,-78.164314,2.3356671
original,baseline,0.1,150,-65.587,-28.360767
original,baseline,0.1,151,-73.33815,-7.99393
original,baseline,0.1,152,-67.293434,-21.157215
original,baseline,0.1,153,-75.85851,0.22243465
original,baseline,0.1,154,-69.596085,-9.893569
original,baseline,0.1,155,-65.21478,-25.932665
original,baseline,0.1,156,-67.27901,-21.692184
original,baseline,0.1,157,-65.971054,-26.569462
original,baseline,0.1,158,-72.649445,-4.2254
original,baseline,0.1,159,-68.29007,-19.135935
original,baseline,0.1,160,-71.06542,-10.2944565
original,baseline,0.1,161,-75.40028,-4.6015387
original,baseline,0.1,162,-75.56566,-8.437026
original,baseline,0.1,163,-71.043076,-4.5154204
original,baseline,0.1,164,-89.83906,19.731232
original,baseline,0.1,165,-83.52804,38.900475
original,baseline,0.1,166,-65.06465,-28.72266
original,baseline,0.1,167,-75.55973,-3.662786
original,baseline,0.1,168,-70.47081,-1.801267
original,baseline,0.1,169,-75.09269,-7.7786613
original,baseline,0.1,170,-67.96901,-20.042437
original,baseline,0.1,171,-83.54916,8.302328
original,baseline,0.1,172,-76.23647,-9.879783
original,baseline,0.1,173,-76.614586,-1.5984533
