experiment,variant,sigma,sample_idx,phi,psi
original,baseline,0.01,184,-10.525185,134.5624
original,baseline,0.01,185,-8.067949,131.15953
original,baseline,0.01,186,-22.452332,131.93376
original,baseline,0.01,187,-39.60843,126.4219
original,baseline,0.01,188,-24.661774,127.36104
original,baseline,0.01,189,-2.673988,120.678024
original,baseline,0.01,190,-3.9725645,137.2271
original,baseline,0.01,191,-3.72057,125.07719
original,baseline,0.01,192,-19.660532,122.91394
original,baseline,0.01,193,4.789609,137.77708
original,baseline,0.01,194,-15.038656,134.79947
original,baseline,0.01,195,-8.438579,139.75456
original,baseline,0.01,196,-12.350448,139.43915
original,baseline,0.01,197,-21.635592,137.05785
original,baseline,0.01,198,-9.210376,137.65749
original,baseline,0.01,199,0.71505404,130.51324
original,baseline,0.05,0,-71.54485,160.15112
original,baseline,0.05,1,-109.710464,91.32689
original,baseline,0.05,2,64.603424,170.77771
original,baseline,0.05,3,46.6281,104.53404
original,baseline,0.05,4,37.28576,-159.73537
original,baseline,0.05,5,-38.481544,-152.64703
original,baseline,0.05,6,43.076916,114.5326
original,baseline,0.05,7,-82.89725,131.34431
original,baseline,0.05,8,27.933788,127.5883
original,baseline,0.05,9,-18.25926,103.248955
original,baseline,0.05,10,-106.61807,121.67027
original,baseline,0.05,11,-5.503837,148.93205
original,baseline,0.05,12,53.934982,76.92399
original,baseline,0.05,13,-65.32378,153.34764
original,baseline,0.05,14,45.630653,75.85747
original,baseline,0.05,15,19.812012,172.98459
original,baseline,0.05,16,53.790062,169.74466
original,baseline,0.05,17,22.437952,-149.85405
original,baseline,0.05,18,-122.55683,-172.93109
original,baseline,0.05,19,25.616901,161.19563
original,baseline,0.05,20,-83.27306,125.009254
original,baseline,0.05,21,-51.49342,152.5414
original,baseline,0.05,22,-101.01291,94.4415
original,baseline,0.05,23,56.232693,137.55103
original,baseline,0.05,24,58.477425,130.61327
original,baseline,0.05,25,21.69814,164.16869
original,baseline,0.05,26,-152.25461,118.99897
original,baseline,0.05,27,-8.454415,159.26376
original,baseline,0.05,28,33.625355,117.157364
original,baseline,0.05,29,-95.75274,113.64479
original,baseline,0.05,30,58.8354,152.44615
original,baseline,0.05,31,12.639351,85.97042
original,baseline,0.05,32,3.3797894,146.12238
original,baseline,0.05,33,-65.49553,131.84094
original,baseline,0.05,34,-22.4214,125.498116
original,baseline,0.05,35,-47.67934,174.40456
original,baseline,0.05,36,-15.113211,126.530785
original,baseline,0.05,37,-18.946152,96.79267
original,baseline,0.05,38,35.013023,115.13549
original,baseline,0.05,39,52.832146,102.064
original,baseline,0.05,40,13.659021,141.87514
original,baseline,0.05,41,-70.93947,95.35444
original,baseline,0.05,42,41.36311,65.03739
original,baseline,0.05,43,19.480354,78.29665
original,baseline,0.05,44,-135.66925,92.72915
original,baseline,0.05,45,18.021431,110.87265
original,baseline,0.05,46,33.875687,132.01688
original,baseline,0.05,47,32.9764,128.08757
original,baseline,0.05,48,2.0351672,135.02936
original,baseline,0.05,49,-3.058318,138.90598
original,baseline,0.05,50,-109.38343,121.51063
original,baseline,0.05,51,-108.65008,140.07346
original,baseline,0.05,52,45.92692,106.8028
original,baseline,0.05,53,19.445114,114.09
original,baseline,0.05,54,-84.67468,126.80473
original,baseline,0.05,55,-54.254574,124.52872
original,baseline,0.05,56,48.704872,126.4327
original,baseline,0.05,57,-0.6953765,90.896286
original,baseline,0.05,58,-31.202684,122.08488
original,baseline,0.05,59,-1.8880948,117.587364
original,baseline,0.05,60,8.587816,120.55397
original,baseline,0.05,61,54.0191,155.01118
original,baseline,0.05,62,36.90984,151.0006
original,baseline,0.05,63,-70.26689,93.065475
original,baseline,0.05,64,-104.85793,144.26244
original,baseline,0.05,65,33.441246,136.03203
original,baseline,0.05,66,39.9335,117.83901
original,baseline,0.05,67,-24.292921,141.49521
original,baseline,0.05,68,-56.79206,-140.16699
original,baseline,0.05,69,-19.521023,100.73904
original,baseline,0.05,70,-73.178024,120.05161
original,baseline,0.05,71,-76.60852,109.55828
original,baseline,0.05,72,-75.85409,103.41466
original,baseline,0.05,73,-71.13121,144.12393
original,baseline,0.05,74,25.764076,130.20772
original,baseline,0.05,75,-2.7288473,130.58865
original,baseline,0.05,76,-26.480143,-146.63425
original,baseline,0.05,77,65.99138,145.28073
original,baseline,0.05,78,-122.82557,165.16241
original,baseline,0.05,79,12.805883,140.41367
original,baseline,0.05,80,-23.642767,133.34045
original,baseline,0.05,81,-6.413776,-149.00366
original,baseline,0.05,82,22.503471,107.4026
original,baseline,0.05,83,25.59975,92.279625
original,baseline,0.05,84,12.346304,116.61219
original,baseline,0.05,85,11.639543,156.12018
original,baseline,0.05,86,38.380875,158.27055
original,baseline,0.05,87,20.765759,-141.85991
original,baseline,0.05,88,-12.142876,113.79997
original,baseline,0.05,89,-1.2397355,103.17164
original,baseline,0.05,90,-80.303665,170.0846
original,baseline,0.05,91,33.382458,139.25061
original,baseline,0.05,92,-22.162197,128.7387
original,baseline,0.05,93,52.12861,-177.3354
original,baseline,0.05,94,-29.629248,-168.54121
original,baseline,0.05,95,32.953136,92.50041
original,baseline,0.05,96,-71.7342,124.51102
original,baseline,0.05,97,-61.485447,140.47267
original,baseline,0.05,98,59.580894,88.9106
original,baseline,0.05,99,3.8916416,178.9678
original,baseline,0.05,100,-89.89878,148.60172
original,baseline,0.05,101,91.86186,-147.97922
original,baseline,0.05,102,-101.25334,-164.41243
original,baseline,0.05,103,116.76198,107.17572
original,baseline,0.05,104,81.49742,113.49159
original,baseline,0.05,105,38.757416,147.70375
original,baseline,0.05,106,-136.16199,122.219894
original,baseline,0.05,107,-6.9481525,106.86675
original,baseline,0.05,108,-89.125145,-177.50862
original,baseline,0.05,109,-102.67731,127.28242
original,baseline,0.05,110,1.640599,134.68225
original,baseline,0.05,111,42.713886,105.36754
original,baseline,0.05,112,-15.350148,111.91977
original,baseline,0.05,113,7.7413826,118.144516
original,baseline,0.05,114,23.989225,128.18323
original,baseline,0.05,115,-3.9313438,173.06396
original,baseline,0.05,116,65.5548,153.95525
original,baseline,0.05,117,-120.85285,156.2706
original,baseline,0.05,118,-30.918327,152.42853
original,baseline,0.05,119,50.96688,105.666664
original,baseline,0.05,120,-61.4379,133.181
original,baseline,0.05,121,3.7051604,155.48221
original,baseline,0.05,122,45.158875,71.62057
original,baseline,0.05,123,-69.01914,115.7775
original,baseline,0.05,124,-31.978874,140.62442
original,baseline,0.05,125,-17.407572,117.82169
original,baseline,0.05,126,-47.596172,79.47599
original,baseline,0.05,127,-75.09053,78.68323
original,baseline,0.05,128,-68.09896,142.38719
original,baseline,0.05,129,49.783943,172.50734
original,baseline,0.05,130,57.70715,113.48955
original,baseline,0.05,131,81.67645,136.99611
original,baseline,0.05,132,35.50801,109.06196
original,baseline,0.05,133,23.701351,111.213
original,baseline,0.05,134,35.173817,147.11668
original,baseline,0.05,135,-4.3351126,112.55536
original,baseline,0.05,136,36.621994,157.52753
original,baseline,0.05,137,-24.785627,145.25865
original,baseline,0.05,138,13.795961,110.72587
original,baseline,0.05,139,-44.621063,-160.64929
original,baseline,0.05,140,16.854578,167.98138
original,baseline,0.05,141,9.945237,-136.01073
original,baseline,0.05,142,48.162193,115.92503
original,baseline,0.05,143,35.80609,-169.85582
original,baseline,0.05,144,71.236755,115.55813
original,baseline,0.05,145,-3.322301,-122.96895
original,baseline,0.05,146,0.48028535,100.93423
original,baseline,0.05,147,-55.504597,126.60347
original,baseline,0.05,148,-30.61102,127.70681
original,baseline,0.05,149,23.503624,96.56183
original,baseline,0.05,150,-62.17402,111.386665
original,baseline,0.05,151,-74.592514,127.27996
original,baseline,0.05,152,-16.125666,107.11075
original,baseline,0.05,153,10.170355,108.467705
original,baseline,0.05,154,-30.511303,153.72807
original,baseline,0.05,155,47.387234,106.117294
original,baseline,0.05,156,54.165104,26.431387
original,baseline,0.05,157,38.1416,100.513214
original,baseline,0.05,158,24.313494,106.81597
original,baseline,0.05,159,-23.265608,-147.72827
original,baseline,0.05,160,44.137966,-171.68118
original,baseline,0.05,161,15.913921,109.18151
original,baseline,0.05,162,46.407024,151.02773
original,baseline,0.05,163,0.18955673,-164.72826
original,baseline,0.05,164,-24.04359,-155.93266
original,baseline,0.05,165,40.824627,-135.02611
original,baseline,0.05,166,27.67037,128.10397
original,baseline,0.05,167,-73.54464,126.96942
original,baseline,0.05,168,-52.260365,122.52113
original,baseline,0.05,169,-6.2857633,81.613525
original,baseline,0.05,170,122.08791,147.46634
original,baseline,0.05,171,-32.34017,138.60461
original,baseline,0.05,172,-144.75983,128.90482
original,baseline,0.05,173,-27.832005,-116.41861
original,baseline,0.05,174,-16.537056,112.18596
original,baseline,0.05,175,-59.09154,131.40643
original,baseline,0.05,176,-21.34006,104.418
original,baseline,0.05,177,11.2825775,130.13641
original,baseline,0.05,178,23.15188,19.180677
original,baseline,0.05,179,8.390242,133.10373
original,baseline,0.05,180,60.30409,134.0014
original,baseline,0.05,181,42.805298,133.5634
original,baseline,0.05,182,7.327544,74.68649
original,baseline,0.05,183,30.196035,129.67575
original,baseline,0.05,184,-63.569057,111.210915
original,baseline,0.05,185,25.760572,-107.119194
original,baseline,0.05,186,-90.73264,19.35565
original,baseline,0.05,187,-50.513313,137.1767
original,baseline,0.05,188,-1.0368412,150.18987
original,baseline,0.05,189,-82.744934,-170.33777
original,baseline,0.05,190,-20.483124,-164.83284
original,baseline,0.05,191,-31.95929,-85.18262
original,baseline,0.05,192,34.70099,160.07005
original,baseline,0.05,193,18.907982,142.0957
original,baseline,0.05,194,-33.59494,119.79689
original,baseline,0.05,195,16.443426,126.064285
original,baseline,0.05,196,33.72241,116.94866
original,baseline,0.05,197,6.639686,149.36038
original,baseline,0.05,198,-51.021,159.21825
original,baseline,0.05,199,3.566909,175.15663
original,baseline,0.1,0,-0.7796529,-28.503132
original,baseline,0.1,1,45.36879,24.281982
original,baseline,0.1,2,-54.584244,119.082466
original,baseline,0.1,3,36.286804,120.29904
original,baseline,0.1,4,-81.77832,-137.29501
original,baseline,0.1,5,32.54018,106.41805
original,baseline,0.1,6,-95.47355,159.64911
original,baseline,0.1,7,-82.15556,142.44139
original,baseline,0.1,8,-24.387432,-131.5195
original,baseline,0.1,9,70.20999,130.05539
original,baseline,0.1,10,19.325182,79.777626
original,baseline,0.1,11,-146.0495,-149.78963
original,baseline,0.1,12,26.181728,-119.294334
original,baseline,0.1,13,-146.81363,52.339493
original,baseline,0.1,14,25.777523,138.8782
original,baseline,0.1,15,-21.160553,-119.54675
original,baseline,0.1,16,62.087273,67.50262
original,baseline,0.1,17,-116.90932,172.53546
original,baseline,0.1,18,-122.684326,122.63715
original,baseline,0.1,19,63.790073,123.90574
original,baseline,0.1,20,67.54396,-54.65925
original,baseline,0.1,21,67.55475,-86.051895
original,baseline,0.1,22,-36.309116,-161.89536
original,baseline,0.1,23,54.596764,177.17705
original,baseline,0.1,24,-74.47158,90.661835
original,baseline,0.1,25,-82.80759,-33.355415
original,baseline,0.1,26,10.675042,-126.00942
original,baseline,0.1,27,108.399315,-97.13816
original,baseline,0.1,28,-82.17732,139.64261
original,baseline,0.1,29,-111.5385,82.00551
original,baseline,0.1,30,-71.58456,123.811226
original,baseline,0.1,31,-130.61568,157.59976
original,baseline,0.1,32,11.274432,84.95815
original,baseline,0.1,33,-29.38147,122.6413
original,baseline,0.1,34,-4.351643,126.7849
original,baseline,0.1,35,92.905106,133.52922
original,baseline,0.1,36,-18.954784,-112.74467
original,baseline,0.1,37,30.223042,3.2527313
original,baseline,0.1,38,28.55084,155.82286
original,baseline,0.1,39,22.683823,174.83655
original,baseline,0.1,40,-108.96721,121.890396
original,baseline,0.1,41,50.417507,160.61879
original,baseline,0.1,42,3.1483834,168.00789
original,baseline,0.1,43,-148.23647,111.83555
original,baseline,0.1,44,-76.75461,45.631775
original,baseline,0.1,45,-40.789974,111.47032
original,baseline,0.1,46,16.345942,144.05528
original,baseline,0.1,47,-79.63773,149.10184
original,baseline,0.1,48,-109.77366,-154.5801
original,baseline,0.1,49,23.194664,87.82507
original,baseline,0.1,50,-28.881031,-144.3495
original,baseline,0.1,51,-31.998053,-37.873302
original,baseline,0.1,52,69.14719,-148.77065
original,baseline,0.1,53,-61.810165,-162.76701
original,baseline,0.1,54,77.89318,148.70937
original,baseline,0.1,55,84.385826,163.08253
original,baseline,0.1,56,-125.23786,-115.63158
original,baseline,0.1,57,-114.449165,-91.816284
original,baseline,0.1,58,67.22506,-124.67608
original,baseline,0.1,59,-70.008125,112.914444
original,baseline,0.1,60,-104.14159,29.464937
original,baseline,0.1,61,-97.835915,129.60805
original,baseline,0.1,62,-55.591995,-38.198727
original,baseline,0.1,63,51.55391,103.4405
original,baseline,0.1,64,-2.9357593,119.27819
original,baseline,0.1,65,55.481632,-135.00256
original,baseline,0.1,66,24.021816,126.15646
original,baseline,0.1,67,-68.938416,-158.99774
original,baseline,0.1,68,-85.889145,121.15261
original,baseline,0.1,69,52.15636,-128.99486
original,baseline,0.1,70,67.90356,103.57575
original,baseline,0.1,71,-164.31468,112.298874
original,baseline,0.1,72,-86.98581,105.95257
original,baseline,0.1,73,-72.21773,101.95723
original,baseline,0.1,74,125.82455,107.35876
original,baseline,0.1,75,-52.259323,-132.61888
original,baseline,0.1,76,-158.87804,57.275047
original,baseline,0.1,77,-118.40751,-161.68962
original,baseline,0.1,78,61.250187,-127.18842
original,baseline,0.1,79,-22.044132,121.64883
original,baseline,0.1,80,37.742474,151.28543
original,baseline,0.1,81,12.063367,119.96049
original,baseline,0.1,82,52.34725,75.80952
original,baseline,0.1,83,-8.962456,177.55363
original,baseline,0.1,84,-58.351845,-178.1109
original,baseline,0.1,85,-109.38159,126.33014
original,baseline,0.1,86,-98.523285,-113.9982
original,baseline,0.1,87,-10.79301,-178.61508
original,baseline,0.1,88,-87.84056,118.69145
original,baseline,0.1,89,-30.897392,99.36252
original,baseline,0.1,90,-26.93584,101.90819
original,baseline,0.1,91,-55.482033,136.99368
original,baseline,0.1,92,-46.840775,-29.467052
original,baseline,0.1,93,11.685497,166.5302
original,baseline,0.1,94,-73.381584,140.85367
original,baseline,0.1,95,79.666115,133.23155
original,baseline,0.1,96,-46.653053,114.75863
original,baseline,0.1,97,-100.92939,55.2026
original,baseline,0.1,98,67.30372,144.70105
original,baseline,0.1,99,-117.28203,109.42085
original,baseline,0.1,100,-145.48051,-1.706413
original,baseline,0.1,101,-142.30333,112.593666
original,baseline,0.1,102,-31.781143,43.819633
original,baseline,0.1,103,-112.96471,27.289696
original,baseline,0.1,104,-104.98492,146.77847
original,baseline,0.1,105,-59.475193,-68.484276
original,baseline,0.1,106,4.9392524,-108.549934
original,baseline,0.1,107,-14.8685465,-145.7521
original,baseline,0.1,108,-48.96263,108.70709
original,baseline,0.1,109,129.89267,95.7934
original,baseline,0.1,110,-58.65529,153.09846
original,baseline,0.1,111,70.2159,170.07065
original,baseline,0.1,112,3.2310932,92.09434
original,baseline,0.1,113,-121.23573,111.51322
original,baseline,0.1,114,-5.969605,-77.050934
original,baseline,0.1,115,-53.279613,79.13695
original,baseline,0.1,116,43.672245,143.13292
original,baseline,0.1,117,23.4231,112.34952
original,baseline,0.1,118,23.89111,62.87175
original,baseline,0.1,119,42.90748,162.75526
original,baseline,0.1,120,-97.62479,-144.78404
original,baseline,0.1,121,7.4681444,-171.83899
original,baseline,0.1,122,24.480484,113.80605
original,baseline,0.1,123,65.22007,-113.49165
original,baseline,0.1,124,0.86334276,124.300316
original,baseline,0.1,125,51.777176,95.975815
original,baseline,0.1,126,46.648853,165.60928
original,baseline,0.1,127,74.35828,67.98978
original,baseline,0.1,128,46.87134,66.73769
original,baseline,0.1,129,36.16338,133.60342
original,baseline,0.1,130,66.81921,88.68887
original,baseline,0.1,131,-72.8843,159.5657
original,baseline,0.1,132,-177.41696,-47.25265
original,baseline,0.1,133,-49.201183,99.74924
original,baseline,0.1,134,-83.0926,115.950905
original,baseline,0.1,135,-13.953084,139.03304
original,baseline,0.1,136,-6.7225666,137.98256
original,baseline,0.1,137,-85.438,142.02272
original,baseline,0.1,138,-143.35597,63.154293
original,baseline,0.1,139,42.152523,135.89366
original,baseline,0.1,140,-81.9447,89.0666
original,baseline,0.1,141,-20.487476,-144.04468
original,baseline,0.1,142,-39.344486,99.12799
original,baseline,0.1,143,-101.607994,114.915695
original,baseline,0.1,144,-16.53972,-151.87344
original,baseline,0.1,145,22.079012,88.80524
original,baseline,0.1,146,-49.142155,120.53
original,baseline,0.1,147,-63.74143,-59.75678
original,baseline,0.1,148,-174.06178,98.46005
original,baseline,0.1,149,-24.781506,155.11147
original,baseline,0.1,150,-19.331142,89.888794
original,baseline,0.1,151,-89.35784,98.51021
original,baseline,0.1,152,-95.95027,-20.216997
original,baseline,0.1,153,0.9930539,76.66015
original,baseline,0.1,154,-87.712234,-55.74464
original,baseline,0.1,155,-74.23964,127.67579
original,baseline,0.1,156,107.55684,119.139404
original,baseline,0.1,157,50.433823,121.01593
original,baseline,0.1,158,2.0112135,124.33111
original,baseline,0.1,159,17.994411,168.86952
original,baseline,0.1,160,16.58096,174.5373
original,baseline,0.1,161,-15.813251,-69.54935
original,baseline,0.1,162,37.917866,128.22026
original,baseline,0.1,163,68.13579,126.06052
original,baseline,0.1,164,-95.161125,146.09637
original,baseline,0.1,165,-150.80891,90.367676
original,baseline,0.1,166,-34.619217,70.275406
original,baseline,0.1,167,50.351204,154.4924
original,baseline,0.1,168,25.55529,-159.85754
original,baseline,0.1,169,36.47968,-151.39703
original,baseline,0.1,170,35.1313,141.41058
original,baseline,0.1,171,-59.09538,-176.61525
original,baseline,0.1,172,53.016457,146.10954
original,baseline,0.1,173,-40.012413,8.796445
original,baseline,0.1,174,23.015574,165.41269
original,baseline,0.1,175,31.194204,107.32914
original,baseline,0.1,176,-70.01481,59.892162
original,baseline,0.1,177,52.993217,152.74649
original,baseline,0.1,178,-33.22589,-113.75684
original,baseline,0.1,179,9.857629,-134.27307
original,baseline,0.1,180,28.530851,-83.503815
original,baseline,0.1,181,-59.218132,147.5362
original,baseline,0.1,182,-16.064281,126.90199
original,baseline,0.1,183,-4.840618,-132.27872
original,baseline,0.1,184,-1.4007603,-115.51121
original,baseline,0.1,185,35.40108,118.520424
original,baseline,0.1,186,120.595764,-59.417953
original,baseline,0.1,187,-38.595623,162.0753
original,baseline,0.1,188,-17.724909,164.95856
original,baseline,0.1,189,52.630863,118.828835
original,baseline,0.1,190,50.801437,168.92444
original,baseline,0.1,191,-85.179405,104.98623
original,baseline,0.1,192,32.63956,106.270004
original,baseline,0.1,193,-57.993305,143.8999
original,baseline,0.1,194,60.424915,171.2982
original,baseline,0.1,195,96.94549,99.456566
original,baseline,0.1,196,1.0217465,170.46222
original,baseline,0.1,197,15.322167,-144.83444
original,baseline,0.1,198,-24.353695,-81.25479
original,baseline,0.1,199,-116.18993,141.97652
original,baseline,0.2,0,41.374813,-99.11286
original,baseline,0.2,1,-133.31989,140.9547
original,baseline,0.2,2,-83.247116,134.76042
original,baseline,0.2,3,81.94951,-100.91509
original,baseline,0.2,4,45.124176,94.8472
original,baseline,0.2,5,-45.73385,165.49544
original,baseline,0.2,6,140.40721,-79.13581
original,baseline,0.2,7,-98.363075,177.64006
original,baseline,0.2,8,159.91673,-95.27573
original,baseline,0.2,9,52.258564,-108.63074
