pdb_id,phi,psi,source
2LZM,-52.0417,-52.5035,original
2LZM,-67.9692,-37.037,original
2LZM,-64.2913,-14.1396,original
2LZM,-80.35,-10.9568,original
2LZM,-85.5502,52.1652,original
2LZM,-36.9702,-58.974,original
2LZM,-67.6593,-39.6888,original
2LZM,-69.8187,-35.6624,original
2LZM,-58.8973,-45.8032,original
2LZM,-54.1666,-52.5024,original
2LZM,-64.8386,-38.1879,original
2LZM,-64.505,-43.4682,original
2LZM,-58.7703,-36.3202,original
2LZM,-74.7256,-11.5996,original
2LZM,69.2574,34.2255,original
2LZM,-98.8023,71.4522,original
2LZM,-53.4008,-49.1066,original
2LZM,-69.7842,-38.5814,original
2LZM,-65.4447,-43.375,original
2LZM,-63.9569,-38.1235,original
2LZM,-59.2372,-43.2288,original
2LZM,-64.3393,-49.5847,original
2LZM,-60.4188,-43.6426,original
2LZM,-59.2215,-33.295,original
2LZM,-69.5061,-21.416,original
2LZM,-87.3534,64.9566,original
2LZM,-152.357,154.4477,original
2LZM,-50.8723,-45.3879,original
2LZM,-46.9966,-54.4405,original
2LZM,-65.5337,-43.7042,original
2LZM,-66.2135,-37.911,original
2LZM,-78.4766,-37.9588,original
2LZM,-133.977,71.1917,original
2LZM,-59.9918,-45.1479,original
2LZM,-63.287,-47.614,original
2LZM,-62.2342,-49.8461,original
2LZM,-54.7192,-43.6066,original
2LZM,-65.6877,-30.8534,original
2LZM,-69.5667,-42.5764,original
2LZM,-68.1739,-42.5171,original
2LZM,-61.6778,-43.6859,original
2LZM,-61.0717,-34.938,original
2LZM,-64.7385,-40.6286,original
2LZM,-71.4222,-37.6489,original
2LZM,-65.6358,-49.1964,original
2LZM,-92.2801,-31.7166,original
2LZM,76.2929,17.5428,original
2LZM,-127.9752,174.2972,original
2LZM,-99.5305,16.8981,original
2LZM,-53.9595,-33.6573,original
2LZM,-67.0448,-21.8999,original
2LZM,-97.6306,-8.9591,original
2LZM,-68.1768,-48.1284,original
2LZM,-53.2897,-61.2367,original
1BRS,-102.5781,105.0113,original
1BRS,-144.8012,28.1073,original
1BRS,-107.6285,162.0779,original
1BRS,-54.3999,-51.0244,original
1BRS,-71.1,-41.0088,original
1BRS,-60.4207,-49.3008,original
1BRS,-67.9075,-37.7991,original
1BRS,-65.4485,-40.9922,original
1BRS,-68.957,-41.2868,original
1BRS,-57.0037,-47.3045,original
1BRS,-58.1172,-46.5522,original
1BRS,-70.8057,-30.8141,original
1BRS,-82.101,-48.4198,original
1BRS,-103.3918,-2.9276,original
1BRS,54.5655,42.7016,original
1BRS,-171.6575,161.6662,original
1BRS,-77.2818,153.7529,original
1BRS,-58.7643,159.5979,original
1BRS,-64.5551,-8.8922,original
1BRS,-88.4151,4.8414,original
1BRS,-97.8029,142.2157,original
1BRS,-139.4087,147.0622,original
1BRS,-69.9932,165.9822,original
1BRS,-60.597,-41.9302,original
1BRS,-65.3052,-48.1224,original
1BRS,-52.5429,-44.8614,original
1BRS,-60.5169,-44.1565,original
1BRS,-60.6445,-41.4862,original
1BRS,-57.3974,-33.2773,original
1BRS,-88.6541,0.6821,original
1BRS,108.2581,13.9381,original
1BRS,-75.677,130.7888,original
1BRS,-126.0786,103.1199,original
1BRS,-49.5887,-48.02,original
1BRS,-64.3485,-14.918,original
1BRS,-84.5028,-24.7258,original
1BRS,71.9429,31.515,original
1BRS,-99.0988,23.6509,original
1BRS,-58.5299,-44.6773,original
1BRS,-71.6567,-16.1149,original
1BRS,-80.2578,-34.7751,original
1BRS,-96.5728,-13.5301,original
1BRS,-157.7176,75.2151,original
1BRS,-59.3906,141.8861,original
1BRS,74.5691,-3.2719,original
1BRS,-94.7743,156.8728,original
1BRS,-136.9426,148.7042,original
1BRS,-71.2436,134.3777,original
1BRS,177.7639,151.2374,original
1BRS,106.8111,-7.9883,original
1BRS,-68.9557,153.9506,original
1BRS,-65.1543,144.2486,original
1BRS,-113.8563,114.4014,original
1BRS,-85.8308,-0.0284,original
1BRS,45.1127,57.0293,original
1BRS,-63.3441,-32.5154,original
1BRS,-88.7894,-3.8374,original
1BRS,64.9649,25.8465,original
1BRS,-74.543,-29.1795,original
1BRS,-90.0375,150.6996,original
1BRS,-66.0299,134.8374,original
1BRS,-106.3021,165.25,original
1BRS,-166.7727,148.2326,original
1BRS,-66.4226,127.487,original
1BRS,94.3618,-11.0889,original
1BRS,-85.8063,122.8707,original
1BRS,-118.4019,152.5346,original
1BRS,-115.0859,153.1961,original
1BRS,-139.7958,162.1158,original
1BRS,-138.9769,161.973,original
1BRS,-147.8437,149.2359,original
1BRS,-74.1431,142.7752,original
1BRS,-122.1287,148.0009,original
1BRS,60.7762,24.6677,original
1BRS,-89.296,138.772,original
1BRS,-124.0018,-50.1357,original
1BRS,-165.4345,168.2438,original
1BRS,88.6389,-158.2514,original
1BRS,-72.6502,156.8433,original
1BRS,-65.2677,148.1867,original
1BRS,-98.4282,-170.9239,original
1BRS,-103.4412,12.9712,original
1BRS,-100.9049,132.2304,original
1BRS,-141.157,149.1425,original
1BRS,-109.4524,134.7829,original
1BRS,-119.0044,128.317,original
1BRS,-136.7951,137.2757,original
1BRS,-92.9141,164.4716,original
1BRS,-65.3394,-18.7754,original
1BRS,-108.1399,22.7874,original
1BRS,62.9616,36.3267,original
1BRS,-84.3509,141.4735,original
1BRS,-130.4231,129.8676,original
1BRS,-127.4147,166.2088,original
1BRS,-135.6048,156.9324,original
1BRS,-135.7672,138.8859,original
1BRS,-122.7258,2.8098,original
1BRS,-124.1838,39.223,original
1BRS,56.1976,52.347,original
1BRS,63.1078,23.677,original
1BRS,-78.5259,-41.2844,original
1BRS,-134.4757,152.1801,original
1BRS,-124.9969,150.8654,original
1BRS,-125.8788,133.2118,original
1BRS,-75.7342,129.3187,original
1BRS,-121.1847,-11.7381,original
1BRS,-94.5208,108.8857,original
1BRS,-136.7454,140.584,original
1BRS,-137.9868,104.1885,original
1BRS,-136.557,17.9807,original
1BRS,-96.3285,157.5645,original
1BRS,-52.1714,-55.6698,original
1BRS,-63.2958,-43.0684,original
1BRS,-61.2816,-44.4744,original
1BRS,-76.2006,-38.8306,original
1BRS,-60.5998,-47.8259,original
1BRS,-60.0602,-41.3879,original
1BRS,-61.4074,-46.9585,original
1BRS,-60.1424,-47.0286,original
1BRS,-60.7577,-43.9396,original
1BRS,-79.4463,-47.2691,original
1BRS,-100.0509,-9.9044,original
1BRS,61.9882,36.0726,original
1BRS,-166.6819,156.4317,original
1BRS,-77.8457,150.8936,original
1BRS,-58.6456,159.671,original
1BRS,-70.5398,-0.9793,original
1BRS,-88.8813,14.0034,original
1BRS,-111.0431,140.6599,original
1BRS,-136.4364,147.6465,original
1BRS,-75.5258,168.4282,original
1BRS,-56.7843,-46.8766,original
1BRS,-62.7112,-39.0657,original
1BRS,-67.8182,-40.0086,original
1BRS,-63.0384,-43.8427,original
1BRS,-65.7366,-35.0969,original
1BRS,-64.8141,-30.5205,original
1BRS,-83.8416,-6.4459,original
1BRS,109.9914,8.851,original
1BRS,-67.3075,133.3714,original
1BRS,-126.8713,107.1891,original
1BRS,-46.4596,-47.674,original
1BRS,-66.7334,-20.347,original
1BRS,-83.7508,-20.777,original
1BRS,62.4196,35.9402,original
1BRS,-97.2447,13.4033,original
1BRS,-46.0474,-43.2192,original
1BRS,-71.4122,-17.9513,original
1BRS,-75.5969,-45.6067,original
1BRS,-93.0213,-13.8545,original
1BRS,-152.3856,75.1068,original
1BRS,-57.4038,130.9408,original
1BRS,76.9757,2.916,original
1BRS,-101.3198,161.733,original
1BRS,-133.5379,153.3781,original
1BRS,-74.0652,130.6586,original
1BRS,-176.2953,154.8218,original
1BRS,106.5832,-9.2859,original
1BRS,-74.4525,151.9418,original
1BRS,-63.493,137.1063,original
1BRS,-105.1626,119.0949,original
1BRS,-85.9202,-2.5269,original
1BRS,46.0939,52.0685,original
1BRS,-56.6335,-33.5702,original
1BRS,-91.5586,2.0835,original
1BRS,59.0457,23.6452,original
1BRS,-75.1516,-24.9244,original
1BRS,-97.7731,154.2062,original
1BRS,-58.2055,117.8185,original
1BRS,-102.7783,162.3357,original
1BRS,-179.6609,150.0766,original
1BRS,-46.5556,125.3382,original
1BRS,78.3502,-6.6164,original
1BRS,-88.1902,129.4194,original
1BRS,-121.7957,141.6605,original
1BRS,-105.0572,154.3772,original
1BRS,-138.8595,154.833,original
1BRS,-130.2779,159.7531,original
1BRS,-149.8649,146.211,original
1BRS,-77.3281,139.5048,original
1BRS,-115.1104,148.5965,original
1BRS,62.9841,21.4885,original
1BRS,-93.3491,139.1983,original
1BRS,-123.6772,-49.8672,original
1BRS,-162.6773,165.656,original
1BRS,89.6433,-161.0676,original
1BRS,-68.3083,150.0487,original
1BRS,-68.7602,147.0632,original
1BRS,-95.4192,-170.293,original
1BRS,-104.0383,18.6492,original
1BRS,-104.8766,131.7159,original
1BRS,-144.5427,150.9317,original
1BRS,-110.8084,136.1772,original
1BRS,-114.6764,121.3911,original
1BRS,-136.4382,136.4735,original
1BRS,-92.4383,165.9923,original
1BRS,-65.5975,-24.3398,original
1BRS,-104.9342,27.4675,original
1BRS,54.0704,40.831,original
1BRS,-81.1516,144.8942,original
1BRS,-129.8095,123.4144,original
1BRS,-126.6249,163.9056,original
1BRS,-138.7584,160.4785,original
1BRS,-135.3181,141.878,original
1BRS,-124.2445,1.33,original
1BRS,-124.1772,37.3829,original
1BRS,52.3226,59.5416,original
1BRS,58.3585,21.8036,original
1BRS,-73.2874,-49.1004,original
1BRS,-132.6422,150.455,original
1BRS,-128.5367,143.3451,original
1BRS,-123.9329,128.4197,original
1BRS,-71.6619,129.9583,original
1BRS,-125.3617,-6.7853,original
1BRS,-100.6324,95.8097,original
1BRS,-142.4392,32.5567,original
1BRS,-109.8137,159.8494,original
1BRS,-56.8474,-53.4746,original
1BRS,-63.3588,-46.6414,original
1BRS,-49.8278,-67.1128,original
1BRS,-58.2024,-41.3973,original
1BRS,-60.1496,-41.979,original
1BRS,-66.9355,-36.5334,original
1BRS,-67.6547,-41.2117,original
1BRS,-62.8345,-49.3355,original
1BRS,-46.5579,-53.781,original
1BRS,-69.9299,-68.4423,original
1BRS,-86.6248,-11.0915,original
1BRS,55.0041,38.2844,original
1BRS,-162.6592,161.7382,original
1BRS,-87.9174,143.6568,original
1BRS,-47.2647,156.5277,original
1BRS,-72.9446,13.278,original
1BRS,-91.1899,-0.1079,original
1BRS,-94.6262,133.0565,original
1BRS,-135.9121,140.3493,original
1BRS,-73.4108,173.4464,original
1BRS,-67.2123,-40.2194,original
1BRS,-64.6092,-43.7104,original
1BRS,-56.6324,-60.9265,original
1BRS,-50.4559,-45.3617,original
1BRS,-52.0867,-52.444,original
1BRS,-46.7152,-54.7835,original
1BRS,-68.7379,22.9058,original
1BRS,70.9709,23.6065,original
1BRS,-75.0033,123.9177,original
1BRS,-120.8823,97.9707,original
1BRS,-34.3199,-56.2777,original
1BRS,-50.4107,-19.8153,original
1BRS,-89.0792,-64.891,original
1BRS,101.9033,33.3191,original
1BRS,-96.5857,19.1388,original
1BRS,-78.355,-39.8233,original
1BRS,-66.3173,-46.4666,original
1BRS,-60.926,-48.1906,original
1BRS,-88.614,3.4237,original
1BRS,-178.0472,85.5887,original
1BRS,-71.5263,135.1691,original
1BRS,67.8248,17.7833,original
1BRS,-106.0263,162.4625,original
1BRS,-145.5769,152.9277,original
1BRS,-74.7216,121.9584,original
1BRS,-162.9951,152.4847,original
1BRS,91.5794,-5.5773,original
1BRS,-71.1854,155.7288,original
1BRS,-60.7696,145.6333,original
1BRS,-119.1112,114.3365,original
1BRS,-76.7373,-7.7958,original
1BRS,49.9144,52.3011,original
1BRS,-61.4821,-35.6188,original
1BRS,-88.99,-10.047,original
1BRS,68.8639,28.2842,original
1BRS,-76.7082,-33.0765,original
1BRS,-86.437,149.2302,original
1BRS,-61.8315,130.5385,original
1BRS,-109.5251,159.4377,original
1BRS,-176.9602,161.6499,original
1BRS,-60.4366,126.0053,original
1BRS,71.8047,16.1024,original
1BRS,-95.554,128.5566,original
1BRS,-123.31,145.7647,original
1BRS,-115.9544,149.7274,original
1BRS,-137.7836,160.3519,original
1BRS,-132.9548,168.7608,original
1BRS,-160.4464,142.8093,original
1BRS,-69.7153,148.0402,original
1BRS,-128.3963,145.9523,original
1BRS,63.7639,25.2973,original
1BRS,-100.275,148.0616,original
1BRS,-134.2393,-57.7744,original
1BRS,-147.1047,161.9916,original
1BRS,79.2951,-136.7943,original
1BRS,-75.2452,132.3701,original
1BRS,-64.243,153.414,original
1BRS,-101.049,-169.9483,original
1BRS,-97.5182,17.4047,original
1BRS,-106.7054,130.8019,original
1BRS,-143.9119,149.9274,original
1BRS,-110.3389,137.2167,original
1BRS,-120.9201,123.4764,original
1BRS,-128.7074,140.1345,original
1BRS,-96.7607,160.7987,original
1BRS,-53.3032,-26.6081,original
1BRS,-108.9526,28.9823,original
1BRS,45.577,63.5385,original
1BRS,-109.6984,131.3742,original
1BRS,-130.5695,128.6607,original
1BRS,-128.211,163.1431,original
1BRS,-137.0948,162.3959,original
1BRS,-145.2138,137.567,original
1BRS,-125.1292,9.9304,original
1BRS,-121.8424,32.1202,original
1BRS,55.0684,55.9298,original
1BRS,67.6367,7.5772,original
1BRS,-67.2299,-43.8646,original
1BRS,-134.2952,142.323,original
1BRS,-126.1316,139.601,original
1BRS,-126.4781,127.9554,original
1BRS,-72.6825,122.0979,original
1BRS,-114.2968,-2.0862,original
1BRS,-118.7441,130.1216,original
1BRS,-120.8229,130.425,original
1BRS,-120.0229,130.8625,original
1BRS,-112.6053,116.469,original
1BRS,-89.8316,90.7314,original
1BRS,-47.2668,-32.182,original
1BRS,-73.8689,-18.7832,original
1BRS,-86.0158,-2.1816,original
1BRS,-89.3834,109.1202,original
1BRS,-103.3334,-3.9251,original
1BRS,-164.3284,171.3428,original
1BRS,-64.2982,-37.0533,original
1BRS,-59.4331,-39.7208,original
1BRS,-59.0914,-46.8644,original
1BRS,-57.6656,-54.9367,original
1BRS,-58.5255,-34.0609,original
1BRS,-67.7399,-44.3067,original
1BRS,-60.9209,-41.7966,original
1BRS,-61.8844,-45.1378,original
1BRS,-55.3292,-46.5781,original
1BRS,-72.3506,-56.2404,original
1BRS,-56.4258,-34.6543,original
1BRS,-100.3492,1.7964,original
1BRS,53.6523,49.4399,original
1BRS,-71.0474,157.7601,original
1BRS,-57.1622,150.6999,original
1BRS,-61.7841,-25.767,original
1BRS,-82.7846,0.2882,original
1BRS,-37.0687,119.065,original
1BRS,-67.2868,-12.2613,original
1BRS,50.6289,46.9488,original
1BRS,-145.9198,169.3204,original
1BRS,-66.9211,-32.6305,original
1BRS,-69.0489,-40.6654,original
1BRS,-66.9534,-39.0012,original
1BRS,-65.5202,-44.6613,original
1BRS,-56.4955,-45.2913,original
1BRS,-59.4392,-45.1252,original
1BRS,-69.6893,-39.5696,original
1BRS,-66.2795,-34.7198,original
1BRS,-94.0897,-11.5172,original
1BRS,-150.4809,35.5535,original
1BRS,-156.2511,-57.5074,original
1BRS,-56.4737,145.6042,original
1BRS,-87.7752,137.426,original
1BRS,-119.5877,163.1062,original
1BRS,-67.4841,153.3788,original
1BRS,-124.5689,139.9033,original
1BRS,-119.3268,116.4137,original
1BRS,-101.4798,108.2231,original
1BRS,-105.1121,107.062,original
1BRS,-106.2261,100.0347,original
1BRS,-91.0649,150.9767,original
1BRS,48.9486,50.1633,original
1BRS,-49.5283,-50.4175,original
1BRS,-57.0709,-36.5273,original
1BRS,-66.4879,-39.3575,original
1BRS,-65.8238,-34.7976,original
1BRS,-62.0212,-44.6442,original
1BRS,-55.7645,-57.0048,original
1BRS,-64.6148,-23.32,original
1BRS,-54.3656,-38.6265,original
1BRS,-69.3255,-41.6789,original
1BRS,-59.4116,-42.3157,original
1BRS,-67.864,-46.1213,original
1BRS,-57.2921,-42.7941,original
1BRS,-58.2048,-40.4075,original
1BRS,-64.1197,-42.1816,original
1BRS,-61.3391,-42.0206,original
1BRS,-67.1399,-37.5403,original
1BRS,-68.8145,-34.7601,original
1BRS,-66.6831,-39.1769,original
1BRS,-69.7352,-47.2632,original
1BRS,-48.3641,-45.174,original
1BRS,-71.3394,6.0307,original
1BRS,106.5347,-14.749,original
1BRS,-65.8756,140.0433,original
1BRS,-82.7999,80.6456,original
1BRS,-119.6654,121.2832,original
1BRS,-98.2069,125.7038,original
1BRS,-111.8855,121.5176,original
1BRS,-114.6053,120.5354,original
1BRS,-109.0517,102.6877,original
1BRS,-87.8451,138.8482,original
1BRS,-133.3732,123.1954,original
1BRS,-101.8458,114.9445,original
1BRS,-87.4335,89.504,original
1BRS,-43.7457,-44.612,original
1BRS,-65.4291,-22.2001,original
1BRS,-99.1626,-1.35,original
1BRS,-72.4732,124.8223,original
1BRS,-92.5201,-18.4605,original
1BRS,-165.3585,-179.8774,original
1BRS,-69.1028,-35.8073,original
1BRS,-56.9991,-44.6235,original
1BRS,-55.9624,-45.5408,original
1BRS,-60.7096,-48.3211,original
1BRS,-62.8456,-47.8657,original
1BRS,-57.3585,-38.1102,original
1BRS,-69.986,-45.9678,original
1BRS,-57.7103,-42.1695,original
1BRS,-52.8529,-47.5186,original
1BRS,-64.7258,-54.9049,original
1BRS,-65.5243,-36.4705,original
1BRS,-99.8475,0.7699,original
1BRS,59.5102,52.4787,original
1BRS,-75.9489,161.9968,original
1BRS,-56.5125,151.3046,original
1BRS,-57.6129,-34.325,original
1BRS,-83.7771,2.0683,original
1BRS,-34.2716,119.622,original
1BRS,-72.2662,-5.4212,original
1BRS,52.6741,53.9001,original
1BRS,-157.6791,169.5187,original
1BRS,-66.0717,-34.6316,original
1BRS,-70.6484,-33.8399,original
1BRS,-69.1562,-37.7281,original
1BRS,-65.7507,-43.1516,original
1BRS,-59.9027,-46.8619,original
1BRS,-56.9878,-47.7439,original
1BRS,-61.6003,-39.6501,original
1BRS,-73.1694,-34.9495,original
1BRS,-94.7458,-9.3896,original
1BRS,-152.4682,37.3056,original
1BRS,-160.0695,-54.597,original
1BRS,-64.7455,152.37,original
1BRS,-86.6224,141.3617,original
1BRS,-113.3289,153.1617,original
1BRS,-70.4011,157.9484,original
1BRS,-128.2492,138.6891,original
1BRS,-129.8917,113.9138,original
1BRS,-114.6015,118.4701,original
1BRS,-109.1777,113.5084,original
1BRS,-104.4249,100.3752,original
1BRS,-83.8538,144.1665,original
1BRS,55.9579,43.958,original
1BRS,-41.6805,-59.103,original
1BRS,-44.3102,-46.1928,original
1BRS,-61.7595,-40.8965,original
1BRS,-64.853,-41.2068,original
1BRS,-54.4898,-51.1017,original
1BRS,-59.6246,-58.4337,original
1BRS,-58.9425,-37.7456,original
1BRS,-59.9897,-33.921,original
1BRS,-64.0597,-37.5272,original
1BRS,-66.6271,-40.1346,original
1BRS,-62.7023,-46.5466,original
1BRS,-58.4064,-44.8264,original
1BRS,-58.153,-34.0742,original
1BRS,-63.0204,-42.4882,original
1BRS,-64.9967,-40.5409,original
1BRS,-67.1633,-42.4198,original
1BRS,-62.5869,-44.6089,original
1BRS,-60.5651,-39.4966,original
1BRS,-63.7773,-52.1035,original
1BRS,-55.4227,-25.415,original
1BRS,-96.1594,13.4939,original
1BRS,107.0604,-14.9379,original
1BRS,-61.8339,141.3981,original
1BRS,-82.2574,73.913,original
1BRS,-117.5495,138.2679,original
1BRS,-120.9223,128.2665,original
1BRS,-113.6215,131.0518,original
1BRS,-119.6979,114.8529,original
1BRS,-103.264,105.942,original
1BRS,-118.9199,134.838,original
1BRS,-112.6393,121.2628,original
1BRS,-113.3187,134.333,original
1BRS,-116.7509,116.9097,original
1BRS,-93.0806,92.5475,original
1BRS,-49.5121,-33.0191,original
1BRS,-72.6119,-11.0889,original
1BRS,-91.2943,-9.0176,original
1BRS,-84.9395,117.159,original
1BRS,-115.1345,3.5567,original
